from	to	pct	comp_1	comp_2	comp_3
M5	M10	0.9	-9.059253365199302	3.3821376348527488	-0.6748997036257273
M5	M10	1	-9.763272749075153	4.127193034806968	-0.8736668116606326
M5	M3	0	-2.723078910316645	-3.3233609647352265	1.1140042686884213
M5	M3	0.1	-2.8767609720670473	-3.4354158390576455	1.1636947355681015
M5	M3	0.2	-3.03044303381745	-3.5474707133800645	1.2133852024477814
M5	M3	0.30000000000000004	-3.1841250955678526	-3.6595255877024826	1.2630756693274614
M5	M3	0.4	-3.337807157318255	-3.7715804620249016	1.3127661362071414
M5	M3	0.5	-3.491489219068658	-3.8836353363473206	1.3624566030868213
M5	M3	0.6000000000000001	-3.6451712808190604	-3.995690210669739	1.4121470699665015
M5	M3	0.7000000000000001	-3.798853342569463	-4.107745084992158	1.4618375368461813
M5	M3	0.8	-3.9525354043198657	-4.219799959314577	1.5115280037258614
M5	M3	0.9	-4.106217466070268	-4.331854833636996	1.5612184706055414
M5	M3	1	-4.259899527820671	-4.443909707959414	1.6109089374852215
M1	M4	0	-1.3368608072668857	-3.5135573404917344	0.9908370389026531
M1	M4	0.1	-1.335886187976832	-3.565214280541188	1.0003292750269037
M1	M4	0.2	-1.3349115686867787	-3.616871220590642	1.0098215111511544
M1	M4	0.30000000000000004	-1.333936949396725	-3.6685281606400952	1.0193137472754048
M1	M4	0.4	-1.3329623301066715	-3.720185100689549	1.0288059833996557
M1	M4	0.5	-1.3319877108166178	-3.7718420407390028	1.038298219523906
M1	M4	0.6000000000000001	-1.3310130915265643	-3.8234989807884565	1.0477904556481568
M1	M4	0.7000000000000001	-1.3300384722365106	-3.8751559208379103	1.0572826917724072
M1	M4	0.8	-1.3290638529464571	-3.926812860887363	1.066774927896658
M1	M4	0.9	-1.3280892336564036	-3.978469800936817	1.0762671640209085
M1	M4	1	-1.32711461436635	-4.030126740986271	1.0857594001451591
